# orphan_target_ledger -- M3 PRIMARY admitted-target membership / orphan ledger v2
#   (SEAL CANDIDATE, TASK-028 Freeze B; Vladimir DEC-M3-DUAL-EDGE target/orphan requirement).
# ONE ROW PER ADMITTED TARGET. Scope: the 583 non-CORE admitted CollecTRI-curated
#   signed targets (targets only). A CORE_TF that ALSO appears as a target and loses ALL
#   incoming edges is recorded below in a clearly-separated NOTE block: it remains a MEMBER
#   as a REGULATOR (TF) and is NOT counted among the non-CORE orphan targets.
# Derived deterministically from sealed_v2/B1/m3_primary_edge_ledger.tsv (v2 corrected policy).
#   NO tumour value read. NO scoring. SEED 20260713.
#
# COUNTS ARE UNIQUE-TARGET counts, kept DISTINCT from EDGE counts:
#   n_admitted_incoming_edges         = admitted edge ROWS into this target (incl. any source dup).
#   n_primary_included_incoming_edges = admitted incoming edges with primary_inclusion=Y.
#   n_excluded_incoming_edges         = admitted incoming edges with primary_inclusion=N.
#   status = 'orphan' iff n_primary_included_incoming_edges == 0; else 'primary-scored'.
#   ORPHAN targets receive NO zero / arbitrary / raw-flag contribution. They simply do NOT
#   enter primary signed scoring; they are recorded here BY NAME only. Membership UNCHANGED.
#
# Columns: target	ensembl_id	is_core_tf	n_admitted_incoming_edges	n_primary_included_incoming_edges	n_excluded_incoming_edges	status	reason
target	ensembl_id	is_core_tf	n_admitted_incoming_edges	n_primary_included_incoming_edges	n_excluded_incoming_edges	status	reason
PHEX	ENSG00000102174	N	1	1	0	primary-scored	none
PI3	ENSG00000124102	N	1	1	0	primary-scored	none
PIK3CA	ENSG00000121879	N	1	1	0	primary-scored	none
PITX1	ENSG00000069011	N	1	1	0	primary-scored	none
PITX2	ENSG00000164093	N	2	2	0	primary-scored	none
PKNOX1	ENSG00000160199	N	1	1	0	primary-scored	none
PLAAT4	ENSG00000133321	N	1	1	0	primary-scored	none
PLSCR2	ENSG00000163746	N	1	1	0	primary-scored	none
PODXL	ENSG00000128567	N	1	1	0	primary-scored	none
POU3F2	ENSG00000184486	N	1	1	0	primary-scored	none
POU3F3	ENSG00000198914	N	1	1	0	primary-scored	none
POU4F2	ENSG00000151615	N	2	2	0	primary-scored	none
POU5F1	ENSG00000204531	N	2	1	1	primary-scored	none
PPARG	ENSG00000132170	N	4	4	0	primary-scored	none
PPIL2	ENSG00000100023	N	1	1	0	primary-scored	none
PPP1R3C	ENSG00000119938	N	1	1	0	primary-scored	none
PRAME	ENSG00000185686	N	1	1	0	primary-scored	none
PRDM16	ENSG00000142611	N	2	2	0	primary-scored	none
PRELP	ENSG00000188783	N	1	1	0	primary-scored	none
PRG2	ENSG00000186652	N	1	1	0	primary-scored	none
PRKN	ENSG00000185345	N	1	1	0	primary-scored	none
PRL	ENSG00000172179	N	2	2	0	primary-scored	none
PRM1	ENSG00000175646	N	1	1	0	primary-scored	none
PSD4	ENSG00000125637	N	1	1	0	primary-scored	none
PTCH1	ENSG00000185920	N	1	1	0	primary-scored	none
PTGER3	ENSG00000050628	N	1	1	0	primary-scored	none
PTGER4	ENSG00000171522	N	1	1	0	primary-scored	none
PTH	ENSG00000152266	N	2	2	0	primary-scored	none
PTH2R	ENSG00000144407	N	1	1	0	primary-scored	none
PTHLH	ENSG00000087494	N	1	1	0	primary-scored	none
RAG1	ENSG00000166349	N	2	2	0	primary-scored	none
RAG2	ENSG00000175097	N	1	1	0	primary-scored	none
RAPGEF3	ENSG00000079337	N	1	1	0	primary-scored	none
RCAN1	ENSG00000159200	N	1	1	0	primary-scored	none
REG3G	ENSG00000143954	N	1	1	0	primary-scored	none
RELN	ENSG00000189056	N	1	1	0	primary-scored	none
REN	ENSG00000143839	N	1	1	0	primary-scored	none
RET	ENSG00000165731	N	2	2	0	primary-scored	none
RGR	ENSG00000148604	N	1	1	0	primary-scored	none
RHOH	ENSG00000168421	N	1	1	0	primary-scored	none
RLBP1	ENSG00000140522	N	1	1	0	primary-scored	none
RNASE2	ENSG00000169385	N	1	1	0	primary-scored	none
ROBO3	ENSG00000154134	N	1	1	0	primary-scored	none
ROBO4	ENSG00000154133	N	1	1	0	primary-scored	none
RPE65	ENSG00000116745	N	1	1	0	primary-scored	none
RTN4IP1	ENSG00000130347	N	1	1	0	primary-scored	none
RUNX2	ENSG00000124813	N	4	4	0	primary-scored	none
RUNX3	ENSG00000020633	N	1	1	0	primary-scored	none
RXFP2	ENSG00000133105	N	1	1	0	primary-scored	none
SALL2	ENSG00000165821	N	1	1	0	primary-scored	none
SALL3	ENSG00000256463	N	1	1	0	primary-scored	none
SAMHD1	ENSG00000101347	N	1	1	0	primary-scored	none
SCGB1A1	ENSG00000149021	N	2	2	0	primary-scored	none
SDC1	ENSG00000115884	N	2	2	0	primary-scored	none
SELE	ENSG00000007908	N	1	1	0	primary-scored	none
SERPINC1	ENSG00000117601	N	1	1	0	primary-scored	none
SFTPB	ENSG00000168878	N	1	1	0	primary-scored	none
SGCA	ENSG00000108823	N	1	1	0	primary-scored	none
SHH	ENSG00000164690	N	3	3	0	primary-scored	none
SHOX	ENSG00000185960	N	1	1	0	primary-scored	none
SIM1	ENSG00000112246	N	1	1	0	primary-scored	none
SIX3	ENSG00000138083	N	1	1	0	primary-scored	none
SKI	ENSG00000157933	N	1	1	0	primary-scored	none
SKP2	ENSG00000145604	N	1	1	0	primary-scored	none
SLC10A1	ENSG00000100652	N	1	1	0	primary-scored	none
SLC10A4	ENSG00000145248	N	1	1	0	primary-scored	none
SLC24A3	ENSG00000185052	N	1	1	0	primary-scored	none
SLC29A4	ENSG00000164638	N	1	1	0	primary-scored	none
SLC2A2	ENSG00000163581	N	1	1	0	primary-scored	none
SLC31A1	ENSG00000136868	N	1	1	0	primary-scored	none
SLC3A1	ENSG00000138079	N	1	1	0	primary-scored	none
SLC4A4	ENSG00000080493	N	1	1	0	primary-scored	none
SLC5A5	ENSG00000105641	N	3	3	0	primary-scored	none
SLC6A19	ENSG00000174358	N	1	1	0	primary-scored	none
SLC6A6	ENSG00000131389	N	1	1	0	primary-scored	none
SLCO1B1	ENSG00000134538	N	1	1	0	primary-scored	none
SLCO1B3	ENSG00000111700	N	1	0	1	orphan	no consensus-signed primary edge
SLCO4C1	ENSG00000173930	N	1	1	0	primary-scored	none
SLIT1	ENSG00000187122	N	1	1	0	primary-scored	none
SLIT2	ENSG00000145147	N	1	1	0	primary-scored	none
SLURP1	ENSG00000126233	N	1	1	0	primary-scored	none
SNAI1	ENSG00000124216	N	1	1	0	primary-scored	none
SNAPC1	ENSG00000023608	N	1	1	0	primary-scored	none
SNCA	ENSG00000145335	N	1	1	0	primary-scored	none
SNURF	ENSG00000273173	N	1	1	0	primary-scored	none
SOST	ENSG00000167941	N	1	1	0	primary-scored	none
SOSTDC1	ENSG00000171243	N	1	1	0	primary-scored	none
SOX10	ENSG00000100146	N	1	1	0	primary-scored	none
SOX14	ENSG00000168875	N	1	1	0	primary-scored	none
SOX2	ENSG00000181449	N	3	3	0	primary-scored	none
SP7	ENSG00000170374	N	3	2	1	primary-scored	none
SP8	ENSG00000164651	N	1	1	0	primary-scored	none
SPAST	ENSG00000021574	N	1	1	0	primary-scored	none
SPEF2	ENSG00000152582	N	1	1	0	primary-scored	none
SPI1	ENSG00000066336	N	2	2	0	primary-scored	none
SPP1	ENSG00000118785	N	4	4	0	primary-scored	none
SRY	ENSG00000184895	N	2	1	1	primary-scored	none
SST	ENSG00000157005	N	1	1	0	primary-scored	none
ST18	ENSG00000147488	N	1	0	1	orphan	no consensus-signed primary edge
ST8SIA6	ENSG00000148488	N	1	1	0	primary-scored	none
STAR	ENSG00000147465	N	1	1	0	primary-scored	none
STAT1	ENSG00000115415	N	1	0	1	orphan	no consensus-signed primary edge
STAT4	ENSG00000138378	N	1	1	0	primary-scored	none
STS	ENSG00000101846	N	1	1	0	primary-scored	none
STXBP1	ENSG00000136854	N	1	1	0	primary-scored	none
SULF1	ENSG00000137573	N	1	1	0	primary-scored	none
SULF2	ENSG00000196562	N	1	1	0	primary-scored	none
SULT2A1	ENSG00000105398	N	1	1	0	primary-scored	none
SYTL4	ENSG00000102362	N	1	1	0	primary-scored	none
TAC1	ENSG00000006128	N	1	1	0	primary-scored	none
TAGLN	ENSG00000149591	N	2	2	0	primary-scored	none
TAL1	ENSG00000162367	N	2	1	1	primary-scored	none
TAT	ENSG00000198650	N	1	1	0	primary-scored	none
TBATA	ENSG00000166220	N	1	1	0	primary-scored	none
TBX20	ENSG00000164532	N	1	1	0	primary-scored	none
TBX6	ENSG00000149922	N	1	1	0	primary-scored	none
TBXA2R	ENSG00000006638	N	1	1	0	primary-scored	none
TCF21	ENSG00000118526	N	1	1	0	primary-scored	none
TEK	ENSG00000120156	N	2	2	0	primary-scored	none
TERT	ENSG00000164362	N	2	2	0	primary-scored	none
TET2	ENSG00000168769	N	1	1	0	primary-scored	none
TFAP2A	ENSG00000137203	N	1	0	1	orphan	no consensus-signed primary edge
TFAP2E	ENSG00000116819	N	1	1	0	primary-scored	none
TFF1	ENSG00000160182	N	1	1	0	primary-scored	none
TG	ENSG00000042832	N	1	1	0	primary-scored	none
TGFB2	ENSG00000092969	N	2	2	0	primary-scored	none
TGFB3	ENSG00000119699	N	1	1	0	primary-scored	none
TGFBR1	ENSG00000106799	N	1	1	0	primary-scored	none
TH	ENSG00000180176	N	3	2	1	primary-scored	none
THBS1	ENSG00000137801	N	1	1	0	primary-scored	none
TLR5	ENSG00000187554	N	1	1	0	primary-scored	none
TMEM30B	ENSG00000182107	N	1	1	0	primary-scored	none
TMPRSS5	ENSG00000166682	N	1	1	0	primary-scored	none
TNF	ENSG00000232810	N	2	2	0	primary-scored	none
TNFAIP8L1	ENSG00000185361	N	1	1	0	primary-scored	none
TNFRSF11A	ENSG00000141655	N	1	1	0	primary-scored	none
TOX	ENSG00000198846	N	1	1	0	primary-scored	none
TPO	ENSG00000115705	N	2	2	0	primary-scored	none
TPTE	ENSG00000274391	N	1	1	0	primary-scored	none
TRDV1	ENSG00000211804	N	1	1	0	primary-scored	none
TRH	ENSG00000170893	N	1	1	0	primary-scored	none
TSHB	ENSG00000134200	N	3	3	0	primary-scored	none
TSHR	ENSG00000165409	N	1	1	0	primary-scored	none
TTF1	ENSG00000125482	N	1	1	0	primary-scored	none
TTR	ENSG00000118271	N	1	1	0	primary-scored	none
TUBB3	ENSG00000258947	N	2	2	0	primary-scored	none
TYR	ENSG00000077498	N	1	1	0	primary-scored	none
UGT2B17	ENSG00000197888	N	1	1	0	primary-scored	none
USP18	ENSG00000184979	N	1	1	0	primary-scored	none
USP21	ENSG00000143258	N	1	0	1	orphan	no consensus-signed primary edge
UST	ENSG00000111962	N	1	1	0	primary-scored	none
VCAM1	ENSG00000162692	N	2	2	0	primary-scored	none
VDR	ENSG00000111424	N	2	2	0	primary-scored	none
VEGFC	ENSG00000150630	N	1	1	0	primary-scored	none
VNN1	ENSG00000112299	N	1	1	0	primary-scored	none
VWA5A	ENSG00000110002	N	1	1	0	primary-scored	none
WASF1	ENSG00000112290	N	1	1	0	primary-scored	none
WDR5	ENSG00000196363	N	2	2	0	primary-scored	none
WNT1	ENSG00000125084	N	3	3	0	primary-scored	none
WNT10B	ENSG00000169884	N	2	2	0	primary-scored	none
WNT2	ENSG00000105989	N	2	2	0	primary-scored	none
WNT3A	ENSG00000154342	N	1	1	0	primary-scored	none
WNT4	ENSG00000162552	N	2	2	0	primary-scored	none
WNT5A	ENSG00000114251	N	2	2	0	primary-scored	none
WNT6	ENSG00000115596	N	1	1	0	primary-scored	none
WNT7A	ENSG00000154764	N	1	1	0	primary-scored	none
WNT7B	ENSG00000188064	N	2	2	0	primary-scored	none
XKR3	ENSG00000172967	N	1	1	0	primary-scored	none
XPO4	ENSG00000132953	N	1	1	0	primary-scored	none
ZBTB7B	ENSG00000160685	N	1	1	0	primary-scored	none
ZHX2	ENSG00000178764	N	1	1	0	primary-scored	none
ZNF202	ENSG00000166261	N	1	1	0	primary-scored	none
ZNF217	ENSG00000171940	N	1	1	0	primary-scored	none
ZNF507	ENSG00000168813	N	1	1	0	primary-scored	none
ZXDC	ENSG00000070476	N	1	1	0	primary-scored	none
#
# ---- CORE_TF-as-target NOTE (SEPARATE from the 583 non-CORE target rows above) ----
# The rows below are CORE_TF that ALSO appear as a TARGET and lose ALL incoming edges under
# the v2 policy. They remain M3 MEMBERS as REGULATORS (they head their own regulons). They are
# NOT part of the non-CORE orphan-target count. Recorded here for completeness only.
#NOTE target	ensembl_id	is_core_tf	n_admitted_incoming_edges	n_primary_included_incoming_edges	n_excluded_incoming_edges	status	reason
#NOTE PAX2	ENSG00000075891	Y	1	0	1	orphan	no consensus-signed primary edge
#NOTE TBX18	ENSG00000112837	Y	1	0	1	orphan	no consensus-signed primary edge
